class;alcohol;malic_acid;ash;alcalinity_ash;magnesium;total_phenols;flavanoids;nonflavanoid_phenols;proanthocyanins;color_intensity;hue;diluted_wines;proline
1;0.84;0.19;0.57;0.26;0.62;0.63;0.57;0.28;0.59;0.37;0.46;0.97;0.56
1;0.57;0.21;0.42;0.03;0.33;0.58;0.51;0.25;0.27;0.26;0.46;0.78;0.55
1;0.56;0.32;0.7;0.41;0.34;0.63;0.61;0.32;0.76;0.38;0.45;0.7;0.65
1;0.88;0.24;0.61;0.32;0.47;0.99;0.66;0.21;0.56;0.56;0.31;0.8;0.86
1;0.58;0.37;0.81;0.54;0.52;0.63;0.5;0.49;0.44;0.26;0.46;0.61;0.33
1;0.83;0.2;0.58;0.24;0.46;0.79;0.64;0.4;0.49;0.47;0.46;0.58;0.84
1;0.88;0.22;0.58;0.21;0.28;0.52;0.46;0.32;0.5;0.34;0.44;0.85;0.72
1;0.8;0.28;0.67;0.36;0.55;0.56;0.46;0.34;0.26;0.32;0.47;0.85;0.73
1;1.0;0.18;0.43;0.18;0.29;0.63;0.56;0.3;0.5;0.33;0.49;0.58;0.55
1;0.74;0.12;0.49;0.28;0.3;0.69;0.59;0.17;0.45;0.51;0.43;0.84;0.55
1;0.81;0.28;0.5;0.38;0.38;0.68;0.63;0.17;0.62;0.38;0.63;0.7;0.88
1;0.81;0.15;0.51;0.32;0.27;0.42;0.44;0.25;0.37;0.32;0.56;0.57;0.71
1;0.72;0.2;0.56;0.28;0.21;0.56;0.51;0.3;0.44;0.37;0.54;0.6;0.74
1;0.98;0.2;0.55;0.04;0.23;0.73;0.71;0.57;0.76;0.35;0.63;0.53;0.62
1;0.88;0.22;0.55;0.07;0.35;0.8;0.7;0.3;0.8;0.53;0.59;0.63;0.91
1;0.68;0.21;0.72;0.34;0.46;0.64;0.54;0.32;0.33;0.51;0.65;0.59;0.74
1;0.86;0.23;0.73;0.48;0.54;0.63;0.59;0.38;0.49;0.42;0.48;0.51;0.71
1;0.74;0.16;0.67;0.48;0.49;0.68;0.65;0.51;0.41;0.45;0.53;0.48;0.61
1;0.83;0.17;0.6;0.3;0.41;0.8;0.76;0.36;0.46;0.63;0.61;0.57;1.0
1;0.69;0.47;0.64;0.24;0.5;0.59;0.57;0.08;0.39;0.33;0.39;0.77;0.4
1;0.8;0.18;0.49;0.28;0.61;0.7;0.6;0.21;0.53;0.37;0.5;0.89;0.36
1;0.5;0.6;0.69;0.41;0.35;0.49;0.44;0.23;0.5;0.27;0.45;0.82;0.35
1;0.71;0.22;0.53;0.31;0.34;0.56;0.54;0.26;0.4;0.22;0.51;1.0;0.54
1;0.48;0.17;0.62;0.37;0.27;0.52;0.43;0.25;0.33;0.23;0.5;0.86;0.53
1;0.65;0.21;0.67;0.48;0.28;0.53;0.48;0.28;0.39;0.19;0.52;0.93;0.4
1;0.53;0.26;0.99;0.74;0.59;0.57;0.49;0.64;0.48;0.2;0.53;0.71;0.39
1;0.62;0.2;0.67;0.28;0.25;0.64;0.55;0.4;0.33;0.3;0.36;0.71;0.65
1;0.6;0.19;0.42;0.33;0.26;0.49;0.39;0.26;0.3;0.23;0.44;0.55;0.72
1;0.75;0.23;0.77;0.45;0.4;0.68;0.55;0.45;0.43;0.27;0.63;0.78;0.45
1;0.79;0.19;0.45;0.28;0.28;0.58;0.42;0.25;0.5;0.29;0.46;0.85;0.54
1;0.71;0.15;0.72;0.61;0.34;0.7;0.61;0.3;0.62;0.38;0.58;0.53;0.72
1;0.67;0.18;0.53;0.44;0.39;0.65;0.6;0.17;0.49;0.48;0.5;0.59;0.88
